country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB","13-12-2025 20:00:00",19.786089,72.757971,PM2.5,68,233,94
India,Maharashtra,Mumbai,"Worli, Mumbai - MPCB","13-12-2025 20:00:00",18.9936162,72.8128113,OZONE,20,20,20
India,Maharashtra,Nagpur,"Ambazari, Nagpur - MPCB","13-12-2025 20:00:00",21.121801,79.04952,NH3,3,19,7
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB","13-12-2025 20:00:00",21.14472,79.107595,PM2.5,86,284,156
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB","13-12-2025 20:00:00",21.14472,79.107595,NH3,4,11,6
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB","13-12-2025 20:00:00",21.14472,79.107595,CO,23,147,67
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB","13-12-2025 20:00:00",21.14472,79.107595,OZONE,3,29,17
India,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB","13-12-2025 20:00:00",21.152875,79.0517531,CO,8,139,43
India,Maharashtra,Nagpur,"Ram Nagar, Nagpur - MPCB","13-12-2025 20:00:00",21.143383,79.048912,NH3,5,13,7
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC","13-12-2025 20:00:00",19.060498,72.923356,NO2,36,105,68
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC","13-12-2025 20:00:00",19.060498,72.923356,OZONE,1,84,64
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM","13-12-2025 20:00:00",19.000083,72.813993,CO,13,52,21
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM","13-12-2025 20:00:00",19.000083,72.813993,OZONE,10,129,91
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB","13-12-2025 20:00:00",19.047000,72.874600,PM10,15,114,55
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB","13-12-2025 20:00:00",19.047000,72.874600,CO,6,16,9
India,Maharashtra,Mumbai,"Vile Parle West, Mumbai - MPCB","13-12-2025 20:00:00",19.10861,72.83622,NO2,11,11,11
India,Maharashtra,Mumbai,"Vile Parle West, Mumbai - MPCB","13-12-2025 20:00:00",19.10861,72.83622,SO2,47,52,49
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB","13-12-2025 20:00:00",19.0632143,72.8456324,PM2.5,82,200,138
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB","13-12-2025 20:00:00",19.0632143,72.8456324,OZONE,1,122,77
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM","13-12-2025 20:00:00",19.1653323,72.922099,NH3,1,2,1
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB","13-12-2025 20:00:00",19.0863,72.8888,PM2.5,61,191,104
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB","13-12-2025 20:00:00",19.0863,72.8888,CO,13,25,17
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB","13-12-2025 20:00:00",19.0863,72.8888,OZONE,28,29,28
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM","13-12-2025 20:00:00",19.19709,72.82204,NO2,15,37,24
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB","13-12-2025 20:00:00",19.1878657,72.8304069,NO2,28,110,60
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB","13-12-2025 20:00:00",19.1878657,72.8304069,OZONE,1,150,118
India,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB","13-12-2025 20:00:00",19.1750,72.9419,NO2,15,18,17
India,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM","13-12-2025 20:00:00",18.897756,72.813320,NO2,39,198,126
India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC","13-12-2025 20:00:00",19.000084,72.856730,SO2,1,88,31
India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM","13-12-2025 20:00:00",19.04946,72.9230,PM2.5,37,112,82
India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM","13-12-2025 20:00:00",19.04946,72.9230,PM10,86,148,126
India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM","13-12-2025 20:00:00",19.04946,72.9230,SO2,4,13,7
India,Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC","13-12-2025 20:00:00",19.083694,72.920967,PM2.5,NA,NA,NA
India,Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC","13-12-2025 20:00:00",19.083694,72.920967,NH3,NA,NA,NA
India,Maharashtra,Mumbai,"Kandivali West, Mumbai - BMC","13-12-2025 20:00:00",19.215859,72.831718,NO2,16,64,37
India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB","13-12-2025 20:00:00",19.2243333,72.8658113,NH3,1,5,3
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC","13-12-2025 20:00:00",18.9767,72.8380,SO2,18,23,21
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC","13-12-2025 20:00:00",18.9767,72.8380,CO,6,108,12
India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM","13-12-2025 20:00:00",19.11074,72.86084,PM2.5,69,90,81
India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM","13-12-2025 20:00:00",19.11074,72.86084,NO2,40,71,50
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB","13-12-2025 20:00:00",19.065931,72.862131,NH3,10,14,11
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM","13-12-2025 20:00:00",19.23241,72.86895,PM10,51,116,84
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM","13-12-2025 20:00:00",19.23241,72.86895,NH3,2,6,4
